,Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora
0,ACCIONA,1257000,64,1269000,1253000,23.116,2.9168,09/07/2021,12:11:57
1,ACERINOX,104200,181,104550,102250,205.024,2.12138,09/07/2021,12:12:51
2,ACS,220100,157,221700,217200,172.509,3.79328,09/07/2021,12:13:17
3,AENA,1395000,36,1400000,1375000,24.818,3.4458,09/07/2021,12:13:11
4,ALMIRALL,145900,48,147800,145800,69.158,1.01477,09/07/2021,12:09:26
5,AMADEUS,578400,147,582800,563800,232.994,13.39087,09/07/2021,12:12:54
6,ARCELORMIT.,257800,333,258500,250400,227.307,5.79153,09/07/2021,12:10:48
7,B.SANTANDER,30985,134,31075,30400,11.086.189,34.12257,09/07/2021,12:13:14
8,BA.SABADELL,5606,355,5624,5428,10.202.575,5.64,09/07/2021,12:13:12
9,BANKINTER,41920,207,41980,41180,297.989,1.24168,09/07/2021,12:11:52
10,BBVA,51390,178,51460,50450,2.712.372,13.81479,09/07/2021,12:13:12
11,CAIXABANK,25290,210,25340,24750,2.893.575,7.23829,09/07/2021,12:13:12
12,CELLNEX,541800,-40,545400,538600,188.399,10.222,09/07/2021,12:12:26
13,CIE AUTOMOT.,253000,120,254200,250600,30.896,77974.0,09/07/2021,12:09:47
14,ENAGAS,183200,58,184500,182750,197.536,3.62757,09/07/2021,12:13:12
15,ENDESA,211800,24,212700,210400,207.360,4.39257,09/07/2021,12:11:25
16,FERROVIAL,254200,24,256400,253100,369.256,9.42019,09/07/2021,12:09:41
17,FLUIDRA,347500,72,349500,341000,141.229,4.87689,09/07/2021,12:09:15
18,GRIFOLS CL.A,217100,-55,220300,217000,78.551,1.71694,09/07/2021,12:13:11
19,IAG,21480,166,21750,21220,5.644.707,12.14952,09/07/2021,12:13:12
20,IBERDROLA,101800,-29,102400,101750,3.327.195,33.97088,09/07/2021,12:12:55
21,INDITEX,294800,113,296900,292400,478.438,14.08518,09/07/2021,12:13:17
22,INDRA A,76200,79,76600,75100,179.692,1.36242,09/07/2021,12:10:31
23,INM.COLONIAL,90450,284,90750,88150,170.907,1.53783,09/07/2021,12:13:18
24,MAPFRE,17615,164,17690,17350,461.048,80846.0,09/07/2021,12:11:57
25,MELIA HOTELS,62100,23,63140,61280,353.758,2.19923,09/07/2021,12:13:14
26,MERLIN,92300,246,92780,90020,132.121,1.21388,09/07/2021,12:12:17
27,NATURGY,219700,23,220500,218700,100.436,2.2068,09/07/2021,12:11:53
28,PHARMA MAR,779600,-71,796600,778600,22.523,1.77381,09/07/2021,12:13:08
29,R.E.C.,156800,35,157650,156000,650.704,10.21414,09/07/2021,12:10:52
30,REPSOL,98370,109,98770,96010,1.813.274,17.71274,09/07/2021,12:13:14
31,SIEMENS GAME,271700,-149,277500,271100,141.822,3.89668,09/07/2021,12:13:12
32,SOLARIA,167250,-324,172900,166500,346.992,5.85315,09/07/2021,12:13:15
33,TELEFONICA,37410,47,37570,36915,2.261.471,8.43271,09/07/2021,12:13:15
34,VISCOFAN,590000,-34,593500,590000,6.926,40994.0,09/07/2021,12:01:24
